Class,Precision,Recall_Sensitivity,Specificity,F1_Score,Support,AUC_ROC,Average_Precision
abn,0.8852,0.8780,0.9364,0.8816,123,0.9711,0.9510
bmt,0.8571,0.6207,0.9904,0.7200,29,0.9506,0.7895
malg,0.6739,0.7750,0.9505,0.7209,40,0.9656,0.8173
nml,0.9531,0.9385,0.9892,0.9457,65,0.9940,0.9746
stn,0.8889,0.9302,0.9611,0.9091,86,0.9914,0.9753
