Class,Precision,Recall_Sensitivity,Specificity,F1_Score,Support,AUC_ROC,Average_Precision
abn,0.9123,0.8455,0.9545,0.8776,123,0.9741,0.9524
bmt,0.7308,0.6552,0.9777,0.6909,29,0.9395,0.8007
malg,0.6400,0.8000,0.9406,0.7111,40,0.9682,0.8034
nml,0.8939,0.9077,0.9748,0.9008,65,0.9844,0.9460
stn,0.9080,0.9186,0.9689,0.9133,86,0.9909,0.9722
