Class,Precision,Recall_Sensitivity,Specificity,F1_Score,Support,AUC_ROC,Average_Precision
abn,0.8770,0.8699,0.9318,0.8735,123,0.9672,0.9401
bmt,0.6471,0.3793,0.9809,0.4783,29,0.9227,0.6319
malg,0.6600,0.8250,0.9439,0.7333,40,0.9625,0.7690
nml,0.9206,0.8923,0.9820,0.9062,65,0.9848,0.9165
stn,0.8462,0.8953,0.9455,0.8701,86,0.9847,0.9604
