Class,Precision,Recall_Sensitivity,Specificity,F1_Score,Support,AUC_ROC,Average_Precision
abn,0.9057,0.7805,0.9545,0.8384,123,0.9645,0.9318
bmt,0.6522,0.5172,0.9745,0.5769,29,0.9336,0.6924
malg,0.5385,0.8750,0.9010,0.6667,40,0.9578,0.7285
nml,0.8788,0.8923,0.9712,0.8855,65,0.9789,0.9391
stn,0.9157,0.8837,0.9728,0.8994,86,0.9879,0.9657
