Class,Precision,Recall_Sensitivity,Specificity,F1_Score,Support,AUC_ROC,Average_Precision
abn,0.8919,0.8049,0.9455,0.8462,123,0.9647,0.9404
bmt,0.7200,0.6207,0.9777,0.6667,29,0.9420,0.7756
malg,0.6250,0.8750,0.9307,0.7292,40,0.9677,0.7691
nml,0.8356,0.9385,0.9568,0.8841,65,0.9855,0.9550
stn,0.9487,0.8605,0.9844,0.9024,86,0.9887,0.9677
