Class,Precision,Recall_Sensitivity,Specificity,F1_Score,Support,AUC_ROC,Average_Precision
abn,0.8571,0.8293,0.9227,0.8430,123,0.9663,0.9421
bmt,0.7308,0.6552,0.9777,0.6909,29,0.9298,0.7593
malg,0.5741,0.7750,0.9241,0.6596,40,0.9667,0.7408
nml,0.9032,0.8615,0.9784,0.8819,65,0.9816,0.9470
stn,0.9268,0.8837,0.9767,0.9048,86,0.9905,0.9702
