Class,Precision,Recall_Sensitivity,Specificity,F1_Score,Support,AUC_ROC,Average_Precision
abn,0.9130,0.8537,0.9545,0.8824,123,0.9733,0.9560
bmt,0.7692,0.6897,0.9809,0.7273,29,0.9551,0.8305
malg,0.6981,0.9250,0.9472,0.7957,40,0.9813,0.8540
nml,0.9077,0.9077,0.9784,0.9077,65,0.9837,0.9557
stn,0.9524,0.9302,0.9844,0.9412,86,0.9924,0.9771
