Class,Precision,Recall_Sensitivity,Specificity,F1_Score,Support,AUC_ROC,Average_Precision
abn,0.8938,0.8211,0.9455,0.8559,123,0.9672,0.9470
bmt,0.7200,0.6207,0.9777,0.6667,29,0.9392,0.7703
malg,0.6071,0.8500,0.9274,0.7083,40,0.9651,0.7674
nml,0.8507,0.8769,0.9640,0.8636,65,0.9844,0.9259
stn,0.9268,0.8837,0.9767,0.9048,86,0.9891,0.9727
